DATE,DoW,Time,Percent_reported,number_of_missing
2021_12_06,Monday,10:13,23.78,302
2021_12_06,Monday,23:12,2.44,31
2021_12_07,Tuesday,09:55,18.73,238
2021_12_08,Wednesday,10:33,12.75,162
2021_12_08,Wednesday,11:15,8.18,104
2021_12_09,Thursday,12:30,4.17,53
2021_12_10,Friday,09:06,31.81,404
2021_12_10,Friday,09:06,31.81,404
2021_12_11,Saturday,18:00,5.35,68
2021_12_12,Sunday,15:28,6.69,85
2021_12_13,Monday,09:19,27.54,350
2021_12_14,Tuesday,10:36,12.05,153
2021_12_15,Wednesday,10:02,17.56,223
2021_12_15,Wednesday,11:40,6.54,83
2021_12_16,Thursday,14:35,3.7,47
2021_12_16,Thursday,17:20,3.15,40
2021_12_17,Friday,11:08,10.08,128
2021_12_18,Saturday,10:56,17.34,220
2021_12_18,Saturday,13:35,6.15,78
2021_12_19,Sunday,09:16,45.31,575
2021_12_20,Monday,09:28,25.51,324
2021_12_22,Wednesday,12:48,3.86,49
2021_12_23,Thursday,09:41,22.93,291
2021_12_23,Thursday,18:29,3.46,44
2021_12_23,Thursday,18:29,3.46,44
2021_12_24,Friday,09:39,35.86,455
2021_12_25,Saturday,10:09,29.16,370
2021_12_25,Saturday,18:42,5.83,74
2021_12_25,Saturday,20:50,5.59,71
2021_12_26,Sunday,13:51,6.62,84
2021_12_27,Monday,09:14,31.36,398
2021_12_28,Tuesday,09:28,25.3,321
2021_12_29,Wednesday,10:47,12.77,162
2021_12_29,Wednesday,16:00,3.08,39
2021_12_29,Wednesday,19:25,2.84,36
2021_12_30,Thursday,08:26,49.45,627
2021_12_31,Friday,13:39,6.79,86
2022_01_01,Saturday,10:31,28.65,363
2022_01_01,Saturday,21:32,5.05,64
2022_01_02,Sunday,13:31,6.62,84
2022_01_02,Sunday,15:37,5.84,74
2022_01_03,Monday,11:33,6.94,88
2022_01_04,Tuesday,10:27,12.46,158
2022_01_05,Wednesday,10:12,17.42,221
2022_01_06,Thursday,11:06,11.43,145
2022_01_07,Friday,15:09,3.39,43
2022_01_08,Saturday,13:55,7.8,99
